Time slots ,Solar,Solar2
1623,947,910.622
1624,872,698.333
1625,10,159.699
1626,429,162.9
1627,0,38
1628,0,38
1629,0,38
1630,0,38
1631,0,38
1632,0,38
1633,0,38
1634,0,38
1635,0,38
1636,0,38
1637,0,38
1638,0,38
1639,0,38
1640,498,256.072
1641,520,463.749
1642,763,742.864
1643,816,931.832
1644,958,1083.039
1645,971,1109.65
1646,966,1050.329
1647,938,909.829
1648,739,641.636
1649,417,342.887
1650,419,164.067
1651,0,38
1652,0,38
1653,0,38
1654,0,38
1655,0,38
1656,0,38
1657,0,38
1658,0,38
1659,0,38
1660,0,38
1661,0,38
1662,0,38
1663,0,47.464
1664,532,278.59
1665,829,570.305
1666,921,809.678
1667,962,989.078
1668,960,1086.767
1669,960,1107.057
1670,945,1043.118
1671,946,910.693
1672,884,702.851
1673,763,442.701
1674,477,170.793
1675,0,38
1676,0,38
1677,0,38
1678,0,38
1679,0,38
1680,0,38
1681,0,38
1682,0,38
1683,0,38
1684,0,38
1685,0,38
1686,0,38
1687,134,65.453
1688,704,314.059
1689,889,597.817
1690,969,840.103
1691,1008,1022.327
1692,998,1117.134
1693,1002,1138.438
1694,987,1073.196
1695,938,921.356
1696,883,712.528
1697,767,449.911
1698,505,175.983
1699,0,38
1700,0,38
1701,0,38
1702,0,38
1703,0,38
1704,0,38
1705,0,38
1706,0,38
1707,0,38
1708,0,38
1709,0,38
1710,0,38
1711,106,63.687
1712,657,307.16
1713,843,585.117
1714,930,824.895
1715,971,1005.363
1716,1005,1115.892
1717,1007,1137.245
1718,994,1073.262
1719,966,928.618
1720,901,715.893
1721,782,452.413
1722,509,176.737
1723,0,38
1724,0,38
1725,0,38
1726,0,38
1727,0,38
1728,0,38
1729,0,38
1730,0,38
1731,0,38
1732,0,38
1733,0,38
1734,0,38
1735,158,70.075
1736,656,305.349
1737,839,577.561
1738,926,813.298
1739,970,992.401
1740,979,1092.911
1741,977,1112.88
1742,957,1047.919
1743,11,248.589
1744,665,623.346
1745,738,440.714
1746,452,170.213
1747,0,38
1748,0,38
1749,0,38
1750,0,38
1751,0,38
1752,0,38
1753,0,38
1754,0,38
1755,0,38
1756,0,38
1757,0,38
1758,0,38
1759,0,48.412
1760,96,169.644
1761,13,200.13
1762,0,158.594
1763,0,138.159
1764,13,262.761
1765,434,866
1766,32,398.091
1767,9,227.936
1768,59,312.481
1769,0,133.933
1770,477,172.821
1771,0,38
1772,0,38
1773,0,38
1774,0,38
1775,0,38
1776,0,38
1777,0,38
1778,0,38
1779,0,38
1780,0,38
1781,0,38
1782,0,38
1783,156,74.15
1784,641,311.241
1785,825,584.788
1786,912,821.323
1787,961,1002.6
1788,984,1108.698
1789,992,1132.436
1790,982,1069.876
1791,956,927.236
1792,898,717.525
1793,783,455.594
1794,514,180.683
1795,0,38
1796,0,38
1797,0,38
1798,0,38
1799,0,38
1800,0,38
1801,0,38
1802,0,38
1803,0,38
1804,0,38
1805,0,38
1806,0,38
1807,227,81.388
1808,716,327.982
1809,893,605.849
1810,969,846.989
1811,1007,1026.48
1812,1025,1130.186
1813,1030,1151.327
1814,1019,1085.569
1815,986,938.157
1816,928,724.691
1817,818,463.375
1818,551,185.508
1819,0,38
1820,0,38
1821,0,38
1822,0,38
1823,0,38
1824,0,38
1825,0,38
1826,0,38
1827,0,38
1828,0,38
1829,0,38
1830,0,38
1831,239,84.718
1832,703,329.785
1833,874,607.088
1834,945,840.114
1835,980,1014.485
1836,990,1113.421
1837,987,1130.182
1838,970,1062.878
1839,950,921.551
1840,890,712.029
1841,772,450.142
1842,501,179.197
1843,0,38
1844,0,38
1845,0,38
1846,0,38
1847,0,38
1848,0,38
1849,0,38
1850,0,38
1851,0,38
1852,0,38
1853,0,38
1854,0,38
1855,241,84.94
1856,686,326.137
1857,850,598.141
1858,927,831.008
1859,969,1007.742
1860,977,1106.773
1861,974,1122.982
1862,956,1056.139
1863,522,753.429
1864,497,576.264
